symbol,baseAsset,quoteAsset,status,minPrice,maxPrice,tickSize,minQty,maxQty,stepSize,minNotional,maxNotional
ETHBTC,ETH,BTC,TRADING,0.00001000,922327.00000000,0.00001000,0.00010000,100000.00000000,0.00010000,0.00010000,9000000.00000000
LTCBTC,LTC,BTC,TRADING,0.00000100,100000.00000000,0.00000100,0.00100000,100000.00000000,0.00100000,0.00010000,9000000.00000000
BNBBTC,BNB,BTC,TRADING,0.00000100,100000.00000000,0.00000100,0.00100000,100000.00000000,0.00100000,0.00010000,9000000.00000000
NEOBTC,NEO,BTC,TRADING,0.00000010,100000.00000000,0.00000010,0.01000000,100000.00000000,0.01000000,0.00010000,9000000.00000000
QTUMETH,QTUM,ETH,TRADING,0.00000100,1000.00000000,0.00000100,0.10000000,90000000.00000000,0.10000000,0.00100000,9000000.00000000
EOSETH,EOS,ETH,BREAK,0.00000010,1000.00000000,0.00000010,0.10000000,92141578.00000000,0.10000000,0.00100000,9000000.00000000
SNTETH,SNT,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00100000,9000000.00000000
BNTETH,BNT,ETH,BREAK,0.00000010,1000.00000000,0.00000010,0.10000000,92141578.00000000,0.10000000,0.00100000,9000000.00000000
BCCBTC,BCC,BTC,BREAK,0.00000100,1000.00000000,0.00000100,0.00100000,92141578.00000000,0.00100000,0.00010000,9000000.00000000
GASBTC,GAS,BTC,TRADING,0.00000010,1000.00000000,0.00000010,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
BNBETH,BNB,ETH,TRADING,0.00010000,1000.00000000,0.00010000,0.00100000,9000000.00000000,0.00100000,0.00100000,9000000.00000000
BTCUSDT,BTC,USDT,TRADING,0.01000000,1000000.00000000,0.01000000,0.00001000,9000.00000000,0.00001000,5.00000000,9000000.00000000
ETHUSDT,ETH,USDT,TRADING,0.01000000,1000000.00000000,0.01000000,0.00010000,9000.00000000,0.00010000,5.00000000,9000000.00000000
HSRBTC,HSR,BTC,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,92141578.00000000,0.01000000,0.00010000,9000000.00000000
OAXETH,OAX,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
DNTETH,DNT,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
MCOETH,MCO,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
ICNETH,ICN,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
MCOBTC,MCO,BTC,BREAK,0.00000010,1000.00000000,0.00000010,0.01000000,90000000.00000000,0.01000000,0.00010000,9000000.00000000
WTCBTC,WTC,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,9000000.00000000,1.00000000,0.00010000,9000000.00000000
WTCETH,WTC,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
LRCBTC,LRC,BTC,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
LRCETH,LRC,ETH,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00100000,9000000.00000000
QTUMBTC,QTUM,BTC,TRADING,0.00000001,1000.00000000,0.00000001,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
YOYOBTC,YOYO,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
OMGBTC,OMG,BTC,BREAK,0.00000010,1000.00000000,0.00000010,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
OMGETH,OMG,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.10000000,90000000.00000000,0.10000000,0.00500000,9000000.00000000
ZRXBTC,ZRX,BTC,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ZRXETH,ZRX,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
STRATBTC,STRAT,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
STRATETH,STRAT,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
SNGLSBTC,SNGLS,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
SNGLSETH,SNGLS,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
BQXBTC,BQX,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
BQXETH,BQX,ETH,BREAK,10.00000000,1000.00000000,10.00000000,10.00000000,90000000.00000000,10.00000000,0.00500000,9000000.00000000
KNCBTC,KNC,BTC,TRADING,0.00000001,1000.00000000,0.00000001,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
KNCETH,KNC,ETH,BREAK,0.00000010,1000.00000000,0.00000010,0.10000000,90000000.00000000,0.10000000,0.00500000,9000000.00000000
FUNBTC,FUN,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
FUNETH,FUN,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00100000,9000000.00000000
SNMBTC,SNM,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
SNMETH,SNM,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
NEOETH,NEO,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00100000,9000000.00000000
IOTABTC,IOTA,BTC,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
IOTAETH,IOTA,ETH,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00100000,9000000.00000000
LINKBTC,LINK,BTC,TRADING,0.00000010,1000.00000000,0.00000010,0.01000000,90000000.00000000,0.01000000,0.00010000,9000000.00000000
LINKETH,LINK,ETH,TRADING,0.00000100,1000.00000000,0.00000100,0.01000000,92141578.00000000,0.01000000,0.00100000,9000000.00000000
XVGBTC,XVG,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
XVGETH,XVG,ETH,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00100000,9000000.00000000
SALTBTC,SALT,BTC,BREAK,0.00000010,1000.00000000,0.00000010,0.01000000,90000000.00000000,0.01000000,0.00010000,9000000.00000000
SALTETH,SALT,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
MDABTC,MDA,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
MDAETH,MDA,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
MTLBTC,MTL,BTC,TRADING,0.00000001,1000.00000000,0.00000001,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
MTLETH,MTL,ETH,BREAK,0.00000010,1000.00000000,0.00000010,0.10000000,92141578.00000000,0.10000000,0.00100000,9000000.00000000
SUBBTC,SUB,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
SUBETH,SUB,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
EOSBTC,EOS,BTC,BREAK,0.00000001,1000.00000000,0.00000001,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
SNTBTC,SNT,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ETCETH,ETC,ETH,TRADING,0.00001000,1000.00000000,0.00001000,0.01000000,92141578.00000000,0.01000000,0.00100000,9000000.00000000
ETCBTC,ETC,BTC,TRADING,0.00000010,1000.00000000,0.00000010,0.01000000,90000000.00000000,0.01000000,0.00010000,9000000.00000000
MTHBTC,MTH,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
MTHETH,MTH,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
ENGBTC,ENG,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ENGETH,ENG,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
DNTBTC,DNT,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ZECBTC,ZEC,BTC,TRADING,0.00000010,1000.00000000,0.00000010,0.00100000,10000000.00000000,0.00100000,0.00010000,9000000.00000000
ZECETH,ZEC,ETH,TRADING,0.00001000,1000.00000000,0.00001000,0.00100000,9000000.00000000,0.00100000,0.00100000,9000000.00000000
BNTBTC,BNT,BTC,BREAK,0.00000001,1000.00000000,0.00000001,0.10000000,90000000.00000000,0.10000000,0.00010000,9000000.00000000
ASTBTC,AST,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ASTETH,AST,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
DASHBTC,DASH,BTC,TRADING,0.00000010,1000.00000000,0.00000010,0.00100000,10000000.00000000,0.00100000,0.00010000,9000000.00000000
DASHETH,DASH,ETH,TRADING,0.00001000,1000.00000000,0.00001000,0.00100000,9000000.00000000,0.00100000,0.00100000,9000000.00000000
OAXBTC,OAX,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
ICNBTC,ICN,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
BTGBTC,BTG,BTC,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,92141578.00000000,0.01000000,0.00010000,9000000.00000000
BTGETH,BTG,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
EVXBTC,EVX,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
EVXETH,EVX,ETH,BREAK,0.00000010,1000.00000000,0.00000010,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
REQBTC,REQ,BTC,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
REQETH,REQ,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
VIBBTC,VIB,BTC,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
VIBETH,VIB,ETH,BREAK,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00500000,9000000.00000000
HSRETH,HSR,ETH,BREAK,0.00000100,1000.00000000,0.00000100,0.01000000,90000000.00000000,0.01000000,0.00500000,9000000.00000000
TRXBTC,TRX,BTC,TRADING,0.00000001,1000.00000000,0.00000001,1.00000000,90000000.00000000,1.00000000,0.00010000,9000000.00000000
